Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,DUIDUn,Reg Cap,Inertia Constant per Unit,Inertia,Units,Technology Descriptor,Comments,Unit hard code,DUID Hardcode
Basslink Pty Ltd,Basslink HVDC Link,TAS1,Network Service Provider,Market,Scheduled,0,0,0,0,1,478,N,BLNKTAS,478,478,200,BLNKTAS,478,0,0,1,Transmission Line,,TRUE,TRUE
Basslink Pty Ltd,Basslink HVDC Link,VIC1,Network Service Provider,Market,Scheduled,0,0,0,0,1,594,N,BLNKVIC,594,594,200,BLNKVIC,594,0,0,1,Transmission Line,,TRUE,TRUE
CS Energy Limited,Wivenhoe Power Station No. 1 Pump,QLD1,Load Norm Off,Market,Scheduled,0,0,0,0,1,240,N,PUMP1,240,245,49,PUMP1,240,2,480,1,Load,,TRUE,TRUE
CS Energy Limited,Wivenhoe Power Station No. 2 Pump,QLD1,Load Norm Off,Market,Scheduled,0,0,0,0,2,240,N,PUMP2,240,245,49,PUMP2,240,2,480,1,Load,,TRUE,TRUE
FPC 30 Limited (as Trustee for the FPC Green Trust),Rocky Point Cogeneration Plant,QLD1,Generator,Market,Non-Scheduled,0,0,0,0,1,30,N,RPCG,30,32,0,RPCG,30,0,0,1,Other,,TRUE,TRUE
LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility ,NSW1,Generator,Non-Market,Non-Scheduled,0,0,0,0,1-Aug,1.123,N,-,8.984,10,0,NA,,0,0,8,Other,,TRUE,FALSE
LUMO Generation SA Pty Ltd,Awaba Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,0,0,1,1.123,N,AWABAREF,1.123,1,0,AWABAREF,1.123,2,2.246,1,"Landfill, Biogas",,TRUE,TRUE
LUMO Generation SA Pty Ltd,Hunter Economic Zone,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,0,0,Jan-16,1.8,N,HEZ,29,29,0,HEZ,29,0,0,16,Other,,FALSE,TRUE
LUMO Generation SA Pty Ltd,Remount Power Station,TAS1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,0,0,1-Feb,1,N,REMOUNT,2,2,0,REMOUNT,2,2,4,2,"Landfill, Biogas",,TRUE,TRUE
Origin Energy Electricity Limited,Bendeela / Kangaroo Valley Pumps,NSW1,Load Norm Off,Market,Scheduled,0,0,0,0,B 1-2,40,Y,SHPUMP,240,240,10,SHPUMP,240,2,480,6,Load,,TRUE,TRUE
Origin Energy Electricity Limited,Bendeela / Kangaroo Valley Pumps,NSW1,Load Norm Off,Market,Scheduled,0,0,0,0,KV 3-4,80,Y,SHPUMP,0,-,0,NA,,2,0,0,Load,,TRUE,FALSE
Origin Energy Electricity Limited,Longford Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,0,0,1-Jun,5.3,N,LONGFORD,31,31.8,0,LONGFORD,31,0,0,5.85,Other,,TRUE,TRUE
RTA Yarwun Pty Ltd,Yarwun Power Station,QLD1,Generator,Market,Non-Scheduled,0,0,0,0,1,154,N,YARWUN_1,154,180,36,YARWUN_1,154,5,770,1,Open Cycle Gas turbines (OCGT),,TRUE,TRUE
EnergyAustralia Pty Ltd,Tallawarra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,460,N,TALWA1,460,460,92,TALWA1,460,5,2300,1,Combined Cycle Gas Turbine (CCGT),,TRUE,TRUE
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,37,N,BARCALDN,37,37,3,BARCALDN,37,5,185,1,Combined Cycle Gas Turbine (CCGT),,TRUE,TRUE
Marubeni Australia Power Services Pty Ltd,Smithfield Energy Facility,NSW1,Generator,Non-Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,38,Y,SITHE01,160,175,35,SITHE01,160,5,800,4,Combined Cycle Gas Turbine (CCGT),,FALSE,TRUE
Marubeni Australia Power Services Pty Ltd,Smithfield Energy Facility,NSW1,Generator,Non-Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),4,62,Y,SITHE01,-,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),0,280,Y,DDPS1,644,663,133,DDPS1,644,5,3220,2.3,Combined Cycle Gas Turbine (CCGT),,TRUE,TRUE
Origin Energy Electricity Limited,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,121,Y,DDPS1,_,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
Origin Energy Electricity Limited,Osborne Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,118,Y,OSB-AG,180,204,41,OSB-AG,180,5,900,2,Combined Cycle Gas Turbine (CCGT),,FALSE,TRUE
Origin Energy Electricity Limited,Osborne Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),2,62,Y,OSB-AG,-,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
Pelican Point Power Limited,Pelican Point Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,160,Y,PPCCGT,478,510,20,PPCCGT,478,5,2390,3,Combined Cycle Gas Turbine (CCGT),,FALSE,TRUE
Pelican Point Power Limited,Pelican Point Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3,158,Y,PPCCGT,-,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,43,Y,CPSA,144,144,29,CPSA,144,5,720,3,Combined Cycle Gas Turbine (CCGT),,FALSE,TRUE
QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3,57,Y,CPSA,-,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
Stanwell Corporation Limited,Swanbank E Gas Turbine,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,385,N,SWAN_E,385,385,77,SWAN_E,385,5,1925,1,Combined Cycle Gas Turbine (CCGT),,TRUE,TRUE
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Tamar Valley Combined Cycle Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbines (CCGT),2,68,Y,TVCC201,-,-,0,NA,,5,0,,Combined Cycle Gas Turbine (CCGT),,#VALUE!,FALSE
Aurora Energy (Tamar Valley) Pty Ltd trading as AETV Power,Tamar Valley Combined Cycle Power Station,TAS1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas turbines (OCGT),1,141,Y,TVCC201,208,208,9,TVCC201,208,5,1040,2,Combined Cycle Gas Turbine (CCGT),,FALSE,TRUE
AGL Hydro Partnership,Moranbah Generation Project,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-Aug,1.57,N,MORANBAH,12.56,13,0,MORANBAH,12.56,0,0,8,Compression Reciprocating Engine,,#REF!,TRUE
AGL Hydro Partnership,West Nowra Landfill Gas Power Generation Facility,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,AGLNOW1,1,1,0,AGLNOW1,1,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
AGL Hydro Partnership,Woy Woy Landfill Site,NSW1,Generator,Market,Non-Scheduled,Landfill / Biogas,Landfill / Biogas,Combustion,Compression Reciprocating Engine,1,1.064,N,WOYWOY1,1.064,1,0,WOYWOY1,1.064,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
AGL Sales (Queensland Electricity) Pty Limited,Grange Avenue Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,2,N,GRANGEAV,2,2,0,GRANGEAV,2,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
Alinta Energy Retail Sales Pty Ltd,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Waste Water / Sewerage,Combustion,Compression Reciprocating Engine,4,9.9,N,BOLIVAR1,9.9,9.9,0,BOLIVAR1,9.9,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
Diamond Energy Pty Ltd ,Shepparton Wastewater Treatment Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,SHEP1,1.1,1,0,SHEP1,1.1,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
Diamond Energy Pty Ltd ,Tatura Biomass Generator,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage/Waste Water,Combustion,Compression Reciprocating Engine,1,1.1,N,TATURA01,1.1,1,0,TATURA01,1.1,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,17-20,3.3,N,-,13.2,-,0,NA,,0,0,,Compression Reciprocating Engine,,FALSE,FALSE
EDL CSM (QLD) Pty Ltd,German Creek Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,Jan-16,2,N,GERMCRK,32,45,0,GERMCRK,32,0,0,16,Compression Reciprocating Engine,,TRUE,TRUE
EDL LFG (NSW) Pty Ltd,Eastern Creek Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Apr,1.35,N,EASTCRK,5.4,5,0,EASTCRK,5.4,0,0,4,Compression Reciprocating Engine,,TRUE,TRUE
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 LFG Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Nov,1.15,N,LUCAS2S2,13,13,0,LUCAS2S2,13,0,0,11,Compression Reciprocating Engine,,FALSE,TRUE
EDL LFG (NSW) Pty Ltd,Lucas Heights 2 LFG Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Dec-15,4.6,N,LUCASHGT,5,5,0,LUCASHGT,5,0,0,3,Compression Reciprocating Engine,,FALSE,TRUE
EnergyAustralia Pty Ltd,Mornington Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,0.77,N,MORNW,1,1,0,MORNW,1,0,0,1,Compression Reciprocating Engine,,FALSE,TRUE
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Jun,1.065,N,WDLNGN01,7,7,0,WDLNGN01,7,0,0,6,Compression Reciprocating Engine,,FALSE,TRUE
EnergyAustralia Pty Ltd,Wyndham Waste Disposal Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1,N,WYNDW,1,1,0,WYNDW,1,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
EnerNOC Pty Ltd,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,1-Mar,1.02,N,BBASEHOS,3,3,0,BBASEHOS,3,0,0,3,Compression Reciprocating Engine,,FALSE,TRUE
EnerNOC Pty Ltd,Bankstown Sports Club Plant Units ,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.8,N,BANKSPT1,2,2,0,BANKSPT1,2,0,0,1,Compression Reciprocating Engine,,FALSE,TRUE
EnerNOC Pty Ltd,Bankstown Sports Club Plant Units ,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,2,1.34,N,BANKSPT1,-,-,0,NA,,0,0,,Compression Reciprocating Engine,,#VALUE!,FALSE
EnerNOC Pty Ltd,Blue Lake Milling Power Plant,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,BLULAKE1,1,1,0,BLULAKE1,1,0,0,,Compression Reciprocating Engine,,FALSE,TRUE
EnerNOC Pty Ltd,Nine Network Willoughby Plant ,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1-Mar,1.06,N,NINEWIL1,3.2,2,0,NINEWIL1,3.2,0,0,3,Compression Reciprocating Engine,,FALSE,TRUE
EnerNOC Pty Ltd,St George Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,1.48,N,STGEORG1,1,1,0,STGEORG1,1,0,0,1,Compression Reciprocating Engine,,FALSE,TRUE
EnerNOC Pty Ltd,Tatiara Bordertown Plant,SA1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.5,N,TATIARA1,0.5,1,0,TATIARA1,0.5,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
EnerNOC Pty Ltd,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,0.715,N,WESTILL1,1,1,0,WESTILL1,1,0,0,1.4,Compression Reciprocating Engine,,TRUE,TRUE
EnerNOC Pty Ltd,West Illawarra Leagues Club Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,2,0.275,N,WESTILL1,-,-,0,NA,,0,0,#VALUE!,Compression Reciprocating Engine,,#VALUE!,FALSE
EnerNOC Pty Ltd,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generator,Market,Non-Scheduled,Fuel Oil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,WESTCBT1,1,1,0,WESTCBT1,1,0,0,,Compression Reciprocating Engine,,FALSE,TRUE
EDL (OCI) Pty Ltd,Glennies Creek Power Station ,NSW1,Generator ,Non-Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,1-Dec,1.08,N,-,13,13,0,NA,,0,0,12,Compression Reciprocating Engine,,FALSE,FALSE
EnviroGen Pty Limited,Teralba Power Station ,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-Mar,1,N,TERALBA,3,3,0,TERALBA,3,0,0,3,Compression Reciprocating Engine,,TRUE,TRUE
LUMO Generation SA Pty Ltd,Angaston Power Station,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-18,1.667,Y,ANGAS1,30,30,17,ANGAS1,30,0,0,18,Compression Reciprocating Engine,,TRUE,TRUE
LUMO Generation SA Pty Ltd,Angaston Power Station,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-Dec,1.667,Y,ANGAS2,20,20,17,ANGAS2,20,0,0,12,Compression Reciprocating Engine,,TRUE,TRUE
LUMO Generation SA Pty Ltd,Lonsdale Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-18,1.125,Y,LONSDALE,20,21,0,LONSDALE,20,0,0,18,Compression Reciprocating Engine,,FALSE,TRUE
LUMO Generation SA Pty Ltd,Port Stanvac Power Station 1,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-36,1.6,N,PTSTAN1,29,65,0,PTSTAN1,29,0,0,36,Compression Reciprocating Engine,,FALSE,TRUE
Narrabri Power Limited,Wilga Park Power Station,NSW1,Generator,Non-Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-Apr,1,N,-,4,4,0,NA,,0,0,,Compression Reciprocating Engine,,FALSE,FALSE
Narrabri Power Limited,Wilga Park Power Station,NSW1,Generator,Non-Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,5-Jun,3,N,-,6,6,0,NA,,0,0,,Compression Reciprocating Engine,,FALSE,FALSE
Origin Energy Electricity Limited,Daandine Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,1-Nov,3,N,DAANDINE,33,33,0,DAANDINE,33,0,0,11,Compression Reciprocating Engine,,TRUE,TRUE
Origin Energy Electricity Limited,Eraring Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,41.5,N,ERGT01,41.5,56,0,ERGT01,41.5,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
Origin Energy Electricity Limited,Oaky Creek  Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,Jan-14,1.037,Y,OAKYCREK,20,20,0,OAKYCREK,20,0,0,16,Compression Reciprocating Engine,,FALSE,TRUE
Origin Energy Electricity Limited,Oaky Creek  Power Station,QLD1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,15-16,3,Y,OAKYCREK,-,-,0,NA,,0,0,,Compression Reciprocating Engine,,#VALUE!,FALSE
Origin Energy Electricity Limited,Rochedale Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Mar,1.1,N,ROCHEDAL,4,4,0,ROCHEDAL,4,0,0,4,Compression Reciprocating Engine,,FALSE,TRUE
Origin Energy Electricity Limited,Rochedale Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,4,0.7,N,ROCHEDAL,-,-,0,NA,,0,0,,Compression Reciprocating Engine,,#VALUE!,FALSE
Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1.1,N,WHIT1,1,1,0,WHIT1,1,0,0,1,Compression Reciprocating Engine,,FALSE,TRUE
Secure Energy Pty Ltd,Southbank Institute Of Technology Unit 1 Plant,QLD1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,STHBKTEC,1,1,0,STHBKTEC,1,0,0,1,Compression Reciprocating Engine,,TRUE,TRUE
Veolia Environmental Services (Australia) Pty Ltd,Veolia Ti Tree Bio Reactor,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Feb,1,Y,TITREE,2,2,0,TITREE,2,0,0,2,Compression Reciprocating Engine,,TRUE,TRUE
